ID,No,Year,Rank,Name,Entry_No,Since,No_Finals,Catchphrase,Final,Order10,Order3,Score10,Score3,No_Reviewer
1,1,2001,1,中川家,438,1992,0,笑いのDNA,1,1,1,829,6,7
2,1,2001,2,ハリガネロック,94,1995,0,武闘派,1,10,2,809,1,7
3,1,2001,3,アメリカザリガニ,1118,1994,0,3オクターブの衝撃,0,4,,796,,7
4,1,2001,4,ますだおかだ,713,1993,0,実力主義,0,8,,770,,7
5,1,2001,5,麒麟,1034,1998,0,無印（ノーマーク）,0,7,,741,,7
6,1,2001,6,フットボールアワー,1181,1999,0,奇跡の顔面,0,2,,726,,7
7,1,2001,7,キングコング,209,1999,0,驚異のルーキー,0,6,,707,,7
8,1,2001,8,チュートリアル,80,1998,0,お笑い陰陽師,0,3,,637,,7
9,1,2001,9,DonDokoDon,859,1994,0,無冠の帝王,0,9,,614,,7
10,1,2001,10,おぎやはぎ,855,1995,0,東京の星,0,5,,540,,7
11,2,2002,1,ますだおかだ,1754,1993,1,打倒吉本を合言葉に今年も決勝へ,1,2,3,612,5,7
12,2,2002,2,フットボールアワー,1726,1999,1,漫才新人賞を総なめにしてきた若手実力派,1,5,1,621,2,7
13,2,2002,3,笑い飯,166,2000,0,今年もM-1予選にノーシードの新星が現れた,1,6,2,567,0,7
14,2,2002,4,おぎやはぎ,1755,1995,1,前回東京からはただ1組の決勝進出,0,7,,561,,7
15,2,2002,5,ハリガネロック,1739,1995,1,前回準優勝 リベンジだけに燃えたこの1年,0,1,,545,,7
16,2,2002,6,テツandトモ,746,1998,0,現代版音楽漫才がM-1に新風を吹き込む,0,4,,539,,7
17,2,2002,7,スピードワゴン,821,1998,0,（敗者復活）,0,9,,535,,7
18,2,2002,8,ダイノジ,1740,1994,0,大分県出身の重量級コンビが涙の初出場,0,3,,534,,7
19,2,2002,9,アメリカザリガニ,1751,1994,1,昨年は高熱をおして堂々の第3位,0,8,,525,,7
20,3,2003,1,フットボールアワー,1895,1999,0,3年連続3回目,1,7,3,663,4,7
21,3,2003,2,笑い飯,1906,2000,1,∞（インフィニティ）,1,4,1,656,3,7
22,3,2003,3,アンタッチャブル,609,1994,0,（敗者復活）,1,9,2,616,0,7
23,3,2003,4,2丁拳銃,484,1993,0,ラストチャンス,0,5,,608,,7
24,3,2003,5,りあるキッズ,1902,1996,0,最年少,0,8,,601,,7
25,3,2003,6,スピードワゴン,1880,1998,1,正門突破,0,3,,572,,7
26,3,2003,7,アメリカザリガニ,1888,1994,2,3度目の正直,0,6,,564,,7
27,3,2003,8,麒麟,1870,1998,1,返り咲き,0,2,,554,,7
28,3,2003,9,千鳥,1885,1998,0,無印（ノーマーク）,0,1,,552,,7
29,4,2004,1,アンタッチャブル,2560,1994,1,悲願の正面突破,1,8,1,673,6,7
30,4,2004,2,南海キャンディーズ,2598,2003,0,初物尽くし,1,5,3,639,1,7
31,4,2004,3,麒麟,2566,1998,2,（敗者復活）,1,9,2,634,0,7
32,4,2004,4,タカアンドトシ,2584,1994,0,直球勝負,0,2,,615,,7
33,4,2004,5,笑い飯,2617,2000,2,予測不能,0,7,,615,,7
34,4,2004,6,POISON GIRL BAND,2604,2000,0,支離滅裂のアーティスト,0,6,,603,,7
35,4,2004,7,トータルテンボス,2591,1997,0,The渋谷系,0,4,,587,,7
36,4,2004,8,東京ダイナマイト,898,2001,0,"""ビート""の遺伝子",0,3,,583,,7
37,4,2004,9,千鳥,2585,1998,1,リベンジ,0,1,,582,,7
38,5,2005,1,ブラックマヨネーズ,3365,1998,0,モテない男たちの逆襲,1,5,3,659,4,7
39,5,2005,2,笑い飯,3378,2000,3,予測不能のWボケ,1,1,2,633,3,7
40,5,2005,3,麒麟,3330,1998,3,M-1チルドレン,1,8,1,646,0,7
41,5,2005,4,品川庄司,3338,1995,0,不屈のお調子者,0,6,,626,,7
42,5,2005,5,チュートリアル,3349,1998,1,暴走するイケメン漫才[108],0,4,,622,,7
43,5,2005,6,千鳥,3348,1998,2,（敗者復活）,0,9,,607,,7
44,5,2005,7,タイムマシーン3号,3347,2000,0,DVD版：アキバ系カリスマデブ,0,7,,571,,7
45,5,2005,8,アジアン,3319,1997,0,肉と骨のハーモニー,0,2,,564,,7
46,5,2005,9,南海キャンディーズ,3357,2003,1,相方以上恋人未満,0,3,,552,,7
47,6,2006,1,チュートリアル,3895,1998,2,華麗なる妄想族,1,6,3,664,7,7
48,6,2006,2,フットボールアワー,3909,1999,3,帰ってきた王者,1,2,2,640,0,7
49,6,2006,3,麒麟,3877,1998,4,空腹のファンタジスタ,1,4,1,627,0,7
50,6,2006,4,笑い飯,3922,2000,4,予測不能のWボケ,0,8,,626,,7
51,6,2006,5,トータルテンボス,3899,1997,1,ハンパねぇ渋谷系漫才,0,5,,613,,7
52,6,2006,6,ライセンス,3917,1996,0,（敗者復活）,0,9,,609,,7
53,6,2006,7,ザ・プラン9,3882,2001,0,5人の漫才革命児,0,3,,597,,7
54,6,2006,8,変ホ長調,3912,2005,0,史上最強のアマチュア,0,7,,576,,7
55,6,2006,9,POISON GIRL BAND,3913,2000,1,暴走する異次元漫才,0,1,,570,,7
56,7,2007,1,サンドウィッチマン,4201,1998,0,（敗者復活）,1,9,3,651,4,7
57,7,2007,2,トータルテンボス,4216,1997,2,ハンパねぇラストチャンス,1,5,1,646,2,7
58,7,2007,3,キングコング,2735,1999,1,帰ってきたスーパールーキー,1,6,2,650,1,7
59,7,2007,4,ハリセンボン,3567,2003,0,（デブ+ヤセ）×ブサイク=爆笑,0,7,,608,,7
60,7,2007,5,笑い飯,4239,2000,5,予測不能のWボケ,0,1,,604,,7
61,7,2007,6,ザブングル,4200,1999,0,奇跡の顔面,0,3,,597,,7
62,7,2007,7,ダイアン,4207,2000,0,お笑い月見草,0,8,,593,,7
63,7,2007,8,千鳥,4210,1998,3,オレ流漫才,0,4,,580,,7
64,7,2007,9,POISON GIRL BAND,4230,2000,2,屈辱からの脱出,0,2,,577,,7
65,8,2008,1,NON STYLE,4467,2000,0,ストリート系漫才,1,7,2,644,5,7
66,8,2008,2,オードリー,4431,2000,0,（敗者復活）,1,9,3,649,2,7
67,8,2008,3,ナイツ,4464,2000,0,浅草の星,1,4,1,640,0,7
